Feature,Importance
sensor_measurement_4_roll_mean_5,0.6768973076760173
time_in_cycles,0.14462346399359893
sensor_measurement_11_roll_mean_5,0.08244224171049298
sensor_measurement_9_roll_mean_5,0.027048099438875088
sensor_measurement_15_roll_mean_5,0.019716749574675983
sensor_measurement_9,0.011402704252004585
sensor_measurement_7_roll_mean_5,0.010741191159987184
sensor_measurement_14_roll_mean_5,0.008971872519100758
sensor_measurement_2_roll_mean_5,0.0034755950091440993
sensor_measurement_21_roll_mean_5,0.003347540569797966
sensor_measurement_12_roll_mean_5,0.002370144607700054
sensor_measurement_13_roll_mean_5,0.0019306840099910165
sensor_measurement_3_roll_mean_5,0.0016433987290777087
sensor_measurement_14,0.001256115164824807
sensor_measurement_20_roll_mean_5,0.0009575798887693103
sensor_measurement_17_roll_mean_5,0.0006970693433981383
sensor_measurement_20_roll_std_5,0.00045097591525205914
sensor_measurement_3_roll_std_5,0.00026305836524723083
sensor_measurement_9_roll_std_5,0.00024184203830845375
sensor_measurement_8_roll_mean_5,0.0002295192430478577
sensor_measurement_7_roll_std_5,0.00019028848531110661
sensor_measurement_8_roll_std_5,0.00012099196149110872
sensor_measurement_15_roll_std_5,8.668854634342927e-05
sensor_measurement_14_roll_std_5,8.163040547590341e-05
sensor_measurement_12,7.943046289895352e-05
sensor_measurement_12_roll_std_5,7.081778292808763e-05
sensor_measurement_4_roll_std_5,6.100823498636453e-05
sensor_measurement_2_roll_std_5,6.02535049781841e-05
sensor_measurement_11_roll_std_5,5.6051930936418254e-05
sensor_measurement_21_roll_std_5,5.5286438663419986e-05
sensor_measurement_2,5.463739576751968e-05
sensor_measurement_13_roll_std_5,5.20494826019106e-05
sensor_measurement_21,4.6225840949100475e-05
sensor_measurement_20,3.7795661774473436e-05
sensor_measurement_11,3.334213561899474e-05
sensor_measurement_7,2.944104198460853e-05
sensor_measurement_3,2.3026422078443488e-05
sensor_measurement_15,1.605537321110945e-05
sensor_measurement_8,1.602622129811263e-05
sensor_measurement_7_change,1.5403287453077215e-05
operational_setting_1,1.5143439565757046e-05
sensor_measurement_3_change,1.2794973137416826e-05
sensor_measurement_11_change,1.136067743113209e-05
sensor_measurement_8_change,1.1121439466357664e-05
sensor_measurement_9_change,8.139929727760362e-06
sensor_measurement_17_roll_std_5,7.692110433537376e-06
sensor_measurement_12_change,7.118234066961635e-06
sensor_measurement_4_change,5.34215300906868e-06
sensor_measurement_20_change,4.830027392086012e-06
sensor_measurement_2_change,4.7092274810126435e-06
sensor_measurement_14_change,3.950883170152474e-06
sensor_measurement_15_change,3.796410264404663e-06
operational_setting_2,3.339250620274954e-06
sensor_measurement_17,2.7150886131557564e-06
sensor_measurement_21_change,2.599055707489873e-06
sensor_measurement_4,7.377901523728747e-07
sensor_measurement_13,6.148893753649269e-07
sensor_measurement_13_change,2.913802453662128e-07
sensor_measurement_17_change,9.921407863977362e-08
sensor_measurement_6_roll_std_5,0.0
sensor_measurement_5_change,0.0
operational_setting_3,0.0
sensor_measurement_19_change,0.0
sensor_measurement_18_change,0.0
sensor_measurement_16_change,0.0
sensor_measurement_1,0.0
sensor_measurement_5,0.0
sensor_measurement_6,0.0
sensor_measurement_10_change,0.0
sensor_measurement_10,0.0
sensor_measurement_6_change,0.0
sensor_measurement_16,0.0
sensor_measurement_10_roll_std_5,0.0
sensor_measurement_18,0.0
sensor_measurement_19,0.0
sensor_measurement_1_change,0.0
sensor_measurement_1_roll_mean_5,0.0
sensor_measurement_5_roll_mean_5,0.0
sensor_measurement_19_roll_std_5,0.0
sensor_measurement_18_roll_std_5,0.0
sensor_measurement_6_roll_mean_5,0.0
sensor_measurement_16_roll_std_5,0.0
sensor_measurement_10_roll_mean_5,0.0
sensor_measurement_16_roll_mean_5,0.0
sensor_measurement_19_roll_mean_5,0.0
sensor_measurement_1_roll_std_5,0.0
sensor_measurement_5_roll_std_5,0.0
sensor_measurement_18_roll_mean_5,0.0
